battery,folder,quality_score,quality_rating,total_rows,missing_columns,total_spikes,total_impossible,long_dropouts,time_issues
second_life_batteries/battery36.csv,second_life_batteries,4.883676274086,POOR,3394365,6,733,733,1442,0
regular_alt_batteries/battery11.csv,regular_alt_batteries,4.878244936963782,POOR,4914864,6,925,925,1770,0
regular_alt_batteries/battery01.csv,regular_alt_batteries,4.873025282789115,POOR,4918193,6,951,951,1784,0
recommissioned_batteries/battery12.csv,recommissioned_batteries,4.8697738875245875,POOR,3041084,6,639,639,1268,0
second_life_batteries/battery13.csv,second_life_batteries,4.864301799458033,POOR,1736149,6,326,325,650,0
regular_alt_batteries/battery31.csv,regular_alt_batteries,4.852554885985384,POOR,3341603,6,563,563,1128,0
recommissioned_batteries/battery02.csv,recommissioned_batteries,4.83957752857286,POOR,2069667,6,418,418,834,0
recommissioned_batteries/battery33.csv,recommissioned_batteries,4.834111637473242,POOR,2353426,6,492,492,962,0
recommissioned_batteries/battery32.csv,recommissioned_batteries,4.831623775285749,POOR,1829938,6,359,359,716,0
regular_alt_batteries/battery21.csv,regular_alt_batteries,4.822193658954589,POOR,530718,6,83,83,166,0
second_life_batteries/battery54.csv,second_life_batteries,4.771870242496689,POOR,1989458,6,1138,371,724,0
regular_alt_batteries/battery41.csv,regular_alt_batteries,4.721215823805309,POOR,2926443,6,721,721,974,0
regular_alt_batteries/battery20.csv,regular_alt_batteries,0.0,POOR,207391,6,33,10155,68,0
regular_alt_batteries/battery00.csv,regular_alt_batteries,0.0,POOR,1101244,6,187,44154,352,0
regular_alt_batteries/battery10.csv,regular_alt_batteries,0.0,POOR,907341,6,153,31376,298,0
regular_alt_batteries/battery23.csv,regular_alt_batteries,0.0,POOR,1344130,6,354,354,508,0
regular_alt_batteries/battery52.csv,regular_alt_batteries,0.0,POOR,1510563,6,270,34765,526,0
regular_alt_batteries/battery40.csv,regular_alt_batteries,0.0,POOR,753257,6,197,36213,286,0
regular_alt_batteries/battery50.csv,regular_alt_batteries,0.0,POOR,791869,6,139,44825,268,0
regular_alt_batteries/battery51.csv,regular_alt_batteries,0.0,POOR,1822787,6,332,5265,618,0
recommissioned_batteries/battery25.csv,recommissioned_batteries,0.0,POOR,2169910,6,3416,5079,878,0
recommissioned_batteries/battery24.csv,recommissioned_batteries,0.0,POOR,3285619,6,1605,7443,1304,0
recommissioned_batteries/battery53.csv,recommissioned_batteries,0.0,POOR,1139972,6,210,1454,420,0
